Timeframe Name,From (date),To (date),Material name,Material code,Quantity,Unit,Location,Comments
January 2012,01/01/12,31/01/12,water,MF9,70.78,%,VOËLVLEI,
February 2012,01/02/12,29/02/12,water,MF9,60.59,%,VOËLVLEI,
March 2012,01/03/12,31/03/12,water,MF9,51.8,%,VOËLVLEI,
April 2012,01/04/12,30/04/12,water,MF9,45.06,%,VOËLVLEI,
May 2012,01/05/12,31/05/12,water,MF9,42.52,%,VOËLVLEI,
June 2012,01/06/12,30/06/12,water,MF9,45.08,%,VOËLVLEI,
July 2012,01/07/12,31/07/12,water,MF9,59.71,%,VOËLVLEI,
August 2012,01/08/12,31/08/12,water,MF9,76.44,%,VOËLVLEI,
September 2012,01/09/12,30/09/12,water,MF9,98.29,%,VOËLVLEI,
October 2012,01/10/12,31/10/12,water,MF9,99.1,%,VOËLVLEI,
November 2012,01/11/12,30/11/12,water,MF9,94.76,%,VOËLVLEI,
December 2012,01/12/12,31/12/12,water,MF9,87.32,%,VOËLVLEI,
January 2013,01/01/13,31/01/13,water,MF9,77.13,%,VOËLVLEI,
February 2013,01/02/13,28/02/13,water,MF9,67.02,%,VOËLVLEI,
March 2013,01/03/13,31/03/13,water,MF9,58.67,%,VOËLVLEI,
April 2013,01/04/13,30/04/13,water,MF9,53.37,%,VOËLVLEI,
May 2013,01/05/13,31/05/13,water,MF9,51.54,%,VOËLVLEI,
June 2013,01/06/13,30/06/13,water,MF9,63.66,%,VOËLVLEI,
July 2013,01/07/13,31/07/13,water,MF9,79.26,%,VOËLVLEI,
August 2013,01/08/13,31/08/13,water,MF9,95.09,%,VOËLVLEI,
September 2013,01/09/13,30/09/13,water,MF9,101.79,%,VOËLVLEI,
October 2013,01/10/13,31/10/13,water,MF9,99.55,%,VOËLVLEI,
November 2013,01/11/13,30/11/13,water,MF9,97.95,%,VOËLVLEI,
December 2013,01/12/13,31/12/13,water,MF9,91.9,%,VOËLVLEI,
January 2014,01/01/14,31/01/14,water,MF9,85.9,%,VOËLVLEI,
February 2014,01/02/14,28/02/14,water,MF9,77.58,%,VOËLVLEI,
March 2014,01/03/14,31/03/14,water,MF9,68.19,%,VOËLVLEI,
April 2014,01/04/14,30/04/14,water,MF9,62.13,%,VOËLVLEI,
May 2014,01/05/14,31/05/14,water,MF9,58.95,%,VOËLVLEI,
June 2014,01/06/14,30/06/14,water,MF9,73.32,%,VOËLVLEI,
